file,line,class,visibility,static,function,params,explanation
app/Controllers/ApiController.php,3,ApiController,private,não,configIntegracao,,Função auxiliar do domínio de controle de telas/rotas; usada para apoiar regras internas da classe ApiController.
app/Controllers/ApiController.php,11,ApiController,private,não,validarSegurancaTiny,"string $raw, array $payload",Valida dados/regras antes de concluir operação de controle de telas/rotas.
app/Controllers/ApiController.php,16,ApiController,private,não,registrarEventoIdempotente,"string $origem, string $referencia, string $tipoEvento, string $raw, array $payload",Função auxiliar do domínio de controle de telas/rotas; usada para apoiar regras internas da classe ApiController.
app/Controllers/ApiController.php,39,ApiController,public,não,webhookVsmPedido,,"Recebe, valida e registra webhook relacionado a controle de telas/rotas."
app/Controllers/ApiController.php,102,ApiController,public,não,webhookVsmProduto,,"Recebe, valida e registra webhook relacionado a controle de telas/rotas."
app/Controllers/ApiController.php,200,ApiController,public,não,webhookTinyEvento,,"Recebe, valida e registra webhook relacionado a controle de telas/rotas."
app/Controllers/ApiController.php,254,ApiController,public,não,webhookTinyPedidoVsm,,"Recebe, valida e registra webhook relacionado a controle de telas/rotas."
app/Controllers/ApiController.php,286,ApiController,public,não,webhookVsmRetornoPedido,,"Recebe, valida e registra webhook relacionado a controle de telas/rotas."
app/Controllers/ApiController.php,328,ApiController,public,não,webhookVsmEstoque,,"Recebe, valida e registra webhook relacionado a controle de telas/rotas."
app/Controllers/ApiController.php,359,ApiController,private,não,responderTiny,"bool $success, array $data=[], int $httpCode=200",Função auxiliar do domínio de controle de telas/rotas; usada para apoiar regras internas da classe ApiController.
app/Controllers/ApiController.php,364,ApiController,public,não,webhookTinyEstoque,,"Recebe, valida e registra webhook relacionado a controle de telas/rotas."
app/Controllers/ApiController.php,416,ApiController,public,não,webhookTinyProduto,,"Recebe, valida e registra webhook relacionado a controle de telas/rotas."
app/Controllers/ApiController.php,436,ApiController,public,não,webhookTinyNotaFiscal,,"Recebe, valida e registra webhook relacionado a controle de telas/rotas."
app/Controllers/ApiController.php,457,ApiController,public,não,webhookTinySituacaoPedido,,"Recebe, valida e registra webhook relacionado a controle de telas/rotas."
app/Controllers/ApiController.php,480,ApiController,public,não,processarFila,,Função auxiliar do domínio de controle de telas/rotas; usada para apoiar regras internas da classe ApiController.
app/Controllers/ApiController.php,719,ApiController,public,não,notificacoesRecentes,,Função auxiliar do domínio de controle de telas/rotas; usada para apoiar regras internas da classe ApiController.
app/Controllers/ApiController.php,726,ApiController,public,não,marcarNotificacaoLidaApi,,Função auxiliar do domínio de controle de telas/rotas; usada para apoiar regras internas da classe ApiController.
app/Controllers/ApiController.php,736,ApiController,public,não,statusJson,,Função auxiliar do domínio de controle de telas/rotas; usada para apoiar regras internas da classe ApiController.
app/Controllers/ApiTinyController.php,8,ApiTinyController,public,não,dispatch,string $page,Recebe a rota solicitada e direciona para a ação correta do controller.
app/Controllers/ApiVsmWebhookController.php,7,ApiVsmWebhookController,public,não,dispatch,string $page,Recebe a rota solicitada e direciona para a ação correta do controller.
app/Controllers/AuditoriaController.php,8,AuditoriaController,public,sim,routes,,Função auxiliar do domínio de auditoria; usada para apoiar regras internas da classe AuditoriaController.
app/Controllers/BackupController.php,3,BackupController,public,não,dispatch,string $page,Recebe a rota solicitada e direciona para a ação correta do controller.
app/Controllers/BackupController.php,14,BackupController,public,sim,routes,,Função auxiliar do domínio de backups; usada para apoiar regras internas da classe BackupController.
app/Controllers/BackupController.php,15,BackupController,public,não,index,,Função auxiliar do domínio de backups; usada para apoiar regras internas da classe BackupController.
app/Controllers/BackupController.php,22,BackupController,private,não,gerar,,"Gera arquivo, relatório, token, código ou saída operacional."
app/Controllers/BackupController.php,29,BackupController,private,não,download,,Função auxiliar do domínio de backups; usada para apoiar regras internas da classe BackupController.
app/Controllers/BackupController.php,39,BackupController,private,não,excluir,,Remove ou inativa um registro.
app/Controllers/BackupController.php,46,BackupController,private,não,importar,,Função auxiliar do domínio de backups; usada para apoiar regras internas da classe BackupController.
app/Controllers/BackupController.php,52,BackupController,private,não,restaurar,,Função auxiliar do domínio de backups; usada para apoiar regras internas da classe BackupController.
app/Controllers/BaseModuleController.php,7,BaseModuleController,protected,não,view,"string $view, array $vars = []",Renderiza conteúdo visual do módulo de controle de telas/rotas.
app/Controllers/BaseModuleController.php,22,BaseModuleController,protected,não,defaultViewData,array $extra = [],Renderiza conteúdo visual do módulo de controle de telas/rotas.
